"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A_33_P3274562",-3.07491273269229,7.35184663557692,-16.4819189079642,5.76273425501872e-31,2.24549106163113e-28,59.9606940849341
"A_23_P101992",-3.88813285769228,11.06446135,-16.4812450035722,5.78074520737032e-31,2.24549106163113e-28,59.9576035784132
"A_33_P3295333",-2.44065636538459,8.95877321153846,-16.4547490697934,6.53562776011644e-31,2.51019509802315e-28,59.8360476848041
"A_23_P114862",-4.68202833461538,4.91212818461538,-16.4435371385771,6.88421717074381e-31,2.6147021727504e-28,59.7845833204766
"A_33_P3300837",-2.84797835576921,8.55193860096154,-16.4166871858324,7.79696731251549e-31,2.92883223784304e-28,59.6612725461997
"A_33_P3229171",-3.19444339423076,3.84495842019231,-16.4140220097962,7.89396251582947e-31,2.9330360943326e-28,59.649027438028
"A_33_P3381671",-3.06277749615384,3.49034920192308,-16.3941290676042,8.65733500044468e-31,3.18208260559356e-28,59.5576008265602
"A_23_P121545",-3.82684809423076,5.43927087788462,-16.356661057254,1.0302674711985e-30,3.74655669872109e-28,59.3852624807528
"A_23_P106682",-2.33573975961535,12.6284158221154,-16.3302898566272,1.16461247629178e-30,4.19052087127176e-28,59.2638572093816
"A_23_P72697",-4.03290853653844,9.28994185673077,-16.3120699354582,1.26759717241867e-30,4.51357022341536e-28,59.1799259761386
"A_33_P3363420",-2.36829685192306,8.49594764134615,-16.2725259579608,1.52374604711433e-30,5.36971248747518e-28,58.9976178499212
"A_33_P3347707",-2.47352939423075,8.20317510096154,-16.2382191920383,1.78783161216802e-30,6.23606612232036e-28,58.8392925510323
"A_23_P63371",-3.05873811923076,6.41647935192308,-16.2146812528655,1.99521019794649e-30,6.8553938538227e-28,58.7305782236187
"A_33_P3610138",-4.46288186846153,5.46144371961538,-16.2135785615908,2.00549801182538e-30,6.8553938538227e-28,58.7254835041259
"A_23_P166779",-2.90437956346152,8.25606029134615,-16.1810570001568,2.33413851597116e-30,7.89978781103388e-28,58.5751556413921
"A_23_P166566",-3.62956380384613,9.12990368461539,-16.1039635758372,3.34644746204557e-30,1.12148640779513e-27,58.2182595625967
"A_33_P3378514",-2.82417378076921,10.3264738692308,-16.0839851535291,3.67436012262101e-30,1.21942380651994e-27,58.1256479868928
"A_23_P303072",-3.21358866923076,4.67269363269231,-16.065586140322,4.00487555784217e-30,1.31633328070883e-27,58.0403129685088
"A_33_P3260605",-1.61954771346151,9.38121113365385,-16.043978667442,4.43141931012294e-30,1.44265910740888e-27,57.9400420885065
"A_23_P126584",-2.78135374999999,3.98807625384615,-16.0315814192584,4.69648186052315e-30,1.51452678715342e-27,57.8824850682863
"A_23_P6909",-3.08927657307691,7.35397342307692,-15.9920917870762,5.65189115208146e-30,1.8055943481458e-27,57.6990154633871
"A_33_P3397233",-3.47037729230768,5.54336928846154,-15.9745994281175,6.13541675858674e-30,1.94191621350713e-27,57.617682391123
